solver_type,solution_found,time_elapsed,max_memory_mb,avg_memory_mb,states_processed,moves,seed
gready-single-core,1,11.909799109,865.0546875,393.89296875,24029,99,355e9e793e142bbb
gready-single-core,1,0.339960876,32.94921875,32.94921875,1365,119,f766ca5f85cee49c
gready-single-core,1,0.801510686,69.2421875,51.220703125,4750,105,0e0788b75993ab49
gready-single-core,1,0.031962355,35.41796875,35.41796875,127,73,35063e1971cbeb03
gready-single-core,1,0.029172333,34.8828125,34.8828125,104,82,de06254173ba8c22
gready-single-core,1,0.058370454,33.953125,33.953125,206,103,4baab2d6390278b6
gready-single-core,1,1.783899662,143.01953125,81.26692708333333,6960,125,c83bf9ea70869ac8
gready-single-core,1,0.089923074,33.703125,33.703125,299,96,0e549e0cdc331d61
gready-single-core,1,0.921145113,62.390625,47.919921875,5308,104,ddbc37be4640e9fc
gready-single-core,1,0.399363601,33.07421875,33.07421875,2034,102,a78f1041029a520c
gready-single-core,0,70.378766523,1283.09765625,684.0518306902985,300000,0,b4803cabcf0261b0
gready-single-core,1,0.028460527,34.92578125,34.92578125,91,85,7a86d525a0ceeb4b
gready-single-core,0,117.091069597,2152.4296875,1093.064418247768,300000,0,575f65f0ef978789
gready-single-core,1,0.717337725,32.55859375,32.55859375,2889,121,ed7940dbe86c2f
gready-single-core,1,0.181569455,33.93359375,33.93359375,728,113,ed7940dbe86c2f
gready-single-core,1,1.607578947,93.91015625,60.67578125,6041,98,ed7940dbe86c2f
gready-multi-core,1,16.945552021,429.52734375,107.64165296052632,0,164,ed279408dbe86c2f
gready-multi-core,1,5.154433037,40.28515625,38.78515625,0,94,03207777b1a3b417
gready-multi-core,1,9.042732835,64.8359375,57.457421875,0,85,ddcf101bb23e70aa
gready-multi-core,1,6.027023296,57.09375,56.004464285714285,0,92,3c752076eaef6b39
gready-multi-core,1,6.375492188,66.21875,61.629464285714285,0,113,cdd96b12bb1cd8de
gready-multi-core,1,6.795802158,55.09375,53.52232142857143,0,76,9c16f76273950155
gready-multi-core,1,7.248010014,65.59375,61.703125,0,101,39fff3511968d0f0
gready-multi-core,1,6.378956929,105.63671875,81.921875,0,98,dd820ae3b259f50c
gready-multi-core,1,5.039380674,68.09375,64.92708333333333,0,87,e7f3a1e415fe8f93
gready-multi-core,1,6.386377949,54.21875,53.058035714285715,0,79,5f0b4f7edde00180
gready-multi-core,1,7.210504867,56.96875,55.265625,0,91,e21eb208f76baf68
gready-multi-core,1,6.322772166,59.97265625,57.115513392857146,0,120,a3f68bf172cb3b91
gready-multi-core,1,5.036027885,57.71875,55.21875,0,98,66021231fe16e22b
gready-multi-core,1,8.094408212,63.46875,60.482638888888886,0,101,02c7fb215726f328
gready-multi-core,1,6.344807575,56.84375,54.933035714285715,0,85,223a5842909afb0a
gready-multi-core,1,5.067049067,59.34375,56.197916666666664,0,114,c17dfa89be08b012
gready-multi-core,1,6.001067533,119.828125,70.16071428571429,0,124,1f9bc3e51d5d533b
gready-multi-core,1,1.251550654,51.55859375,42.18359375,0,106,71ae1d2efbe5d665
gready-multi-core,1,1.441818816,53.97265625,43.28515625,0,95,9784e4490ffecefe
gready-multi-core,1,2.898940028,38.4375,36.520833333333336,0,95,41b73cf8c785e944
